#{"t_start": 1784919387.0045087, "env_id": "LunarLander-v3"}
r,l,t
-115.703719,67,1.161568
-77.17623,68,1.199645
-299.255796,98,1.25226
-78.145885,72,1.289265
-277.140772,100,1.340542
-367.926768,110,1.394618
-69.7964,83,1.437113
-124.197974,144,1.511503
-308.926548,75,1.550635
-75.603777,113,1.615161
-134.588217,72,1.651044
-457.184374,95,1.70049
-109.559049,71,1.743477
-216.115274,103,1.803341
-230.935372,103,1.868858
-84.974547,67,1.905019
-156.870205,134,1.973112
-255.830342,101,2.029274
-78.80737,85,2.073777
-333.953366,99,2.129811
-416.514867,92,2.177275
-261.367298,119,3.110661
-240.397144,119,3.179961
-129.234909,69,3.219702
-98.490972,78,3.264341
-81.66213,75,3.312307
-211.541392,125,3.39225
-199.381869,104,3.450249
-89.836843,62,3.486748
-104.293349,65,3.529109
-152.56382,91,3.597476
-87.013309,64,3.637361
-98.017355,107,3.694926
-134.250114,103,3.74952
-136.855916,112,3.811323
-122.853149,98,3.866364
-132.23503,92,3.915388
-133.909477,96,3.969085
-132.869966,83,4.013458
-85.370382,71,4.051069
-106.366196,62,4.0826
-111.664511,95,4.129041
-157.500574,73,4.166023
-109.163955,85,4.211388
-270.17805,133,5.039809
-38.033424,69,5.076668
-413.256686,132,5.145474
-71.786354,62,5.176721
-69.574527,81,5.218577
-81.493723,75,5.258218
-260.505411,135,5.329847
-114.465294,128,5.402984
-200.90336,102,5.461339
-161.471993,109,5.521265
-81.585158,93,5.572653
-47.634994,87,5.62183
-101.799858,134,5.697656
-89.074732,58,5.733221
-258.45166,158,5.820403
-314.651895,131,5.901915
-203.344839,104,5.960924
-452.512301,149,6.043565
-298.123858,100,6.100909
-125.369817,83,6.15032
-127.399998,80,7.044886
-230.868013,142,7.118814
-46.039487,123,7.184669
-148.250878,112,7.24661
-121.642758,72,7.287206
-76.83128,68,7.326753
-96.693761,78,7.378235
-96.821569,81,7.437486
-102.575053,138,7.53419
-79.153224,108,7.610705
-234.478264,93,7.663244
-61.879741,80,7.705091
-68.988482,134,7.774984
-126.047048,68,7.810878
-66.357269,81,7.856841
-330.899259,110,7.916329
-348.294208,98,7.969223
-163.724317,117,8.04412
-355.41255,115,8.112885
-200.103722,124,8.182885
-117.519582,101,8.991375
-135.208358,106,9.052414
-103.638571,88,9.099379
-113.070623,95,9.151121
-205.36562,101,9.204858
-56.485628,74,9.242598
-103.510204,81,9.283303
-131.772232,149,9.360415
-91.74151,99,9.412835
-198.606239,125,9.480004
-76.014782,85,9.529167
-94.752309,155,9.631891
-103.712785,90,9.683746
-92.338959,73,9.720648
-103.409273,150,9.798359
-87.69751,68,9.833764
-141.336541,120,9.898886
-91.648492,86,9.942855
-65.928336,70,9.978919
-151.663734,111,10.035985
14.523333,126,10.877611
-111.391548,100,10.928925
-384.832089,136,11.00457
-52.027048,142,11.086557
-186.974662,116,11.147192
-154.509728,97,11.196711
-338.900935,122,11.263272
-18.247768,95,11.315999
-184.506054,90,11.362999
-285.7547,93,11.413742
-345.216755,158,11.49464
-97.602173,71,11.532319
-56.706672,154,11.615453
